Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of July 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
22,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,16.45%,61.29%,-44.84%," 2,987,473.44 ",135,12/26/17,5/9/18,,A BARRIENTOS,MFN BUILDERS,"Project suspended as of Apr. 2, 2018, due to road condition going to project site and the contractor have diffilculty in hauling of materials"
23,"Establishment of Greenhouse for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.2,100.00%,100.00%,0.00%," 264,308.97 ",40,9/28/17,11/6/17,7/6/18,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Completed
24,"Establishment of Nursery for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.1,100.00%,100.00%,0.00%," 288,485.65 ",40,9/28/17,11/6/17,7/6/18,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Completed
25,Repair of Lined Canal & Inst. Of Drop Structure @ Sitio Lambukay,Banga,CY 2017 20% LDF,79.72%,91.04%,-11.32%," 2,205,000.00 ",120,1/2/18,8/7/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
26,Concreting of Lambingi-Lampari Road,Banga,CY 2017 20% LDF,89.18%,100.00%,-10.82%," 11,988,000.00 ",140,1/18/18,7/21/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
27,Const. of Two CL School Bldg. w/ Two Seater Attached Toilet @ Matlong E/S,Banga,2018 CONT. APPRO SEF #42,31.22%,28.67%,2.55%," 1,990,698.89 ",120,6/10/18,10/7/18,,MJ Dauz,C.A BETALAC CONST. & GEN. MDSE.,On-going
28,"Spring Dev't. & Inst. Of Level II Water System through Hydraulic Rampump, Brgy. San Vicente",Banga,CY 2017 20% LDF,3.04%,10.35%,-7.31%," 2,700,099.48 ",175,5/21/18,11/11/18,,ME Dondiego,DAVAO SANTHONY BUILDERS CORP.,On-going
29,Upgrading of Yangco-Rang-ay Road,Banga,CY 2018 20% LDF,8.74%,3.69%,5.05%," 10,985,324.48 ",125,7/4/18,11/5/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going
30,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,0.53%,3.75%,-3.22%," 2,692,684.72 ",60,11/1/16,12/30/16,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"This project is still suspended as of November 23, 2016 due to water way problem & revision of plans."
31,Conc. Of Poblacion-Simsiman-Matapol Road,Norala,CY 2015 20% LDF,98.18%,100.00%,-1.82%," 11,438,082.05 ",255,7/30/17,4/10/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,"On-going; project expired last Apr. 10, 2018"
32,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,1.48%,19.19%,-17.71%," 375,786.23 ",40,12/21/17,1/29/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of January 19, 2018 due to revision of plan approved  original plan is not suitable suited on site."
33,Renovation of Lapuz Brgy. Hall,Norala,CY 2017 20% LDF,92.95%,100.00%,-7.05%," 1,319,000.00 ",80,12/19/17,3/8/18,,A SOBREVEGA,"ISULAN ECT CONST. & GEN. MDSE., INC.","This project was already expired last March 8, 2018; Subject for liquidated damages"
34,Rehabilitation of Puti Water System,Norala,CY 2018 CONT. APPROP. GF #,34.72%,90.11%,-55.39%," 1,962,026.71 ",120,4/8/18,8/5/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; time extension is on process
35,Conc. Of Provincial Road Lapus to Brgy. Liberty,Norala,CY 2018 CONT. APPROP. GF #75,6.80%,11.17%,-4.37%," 17,240,000.00 ",125,3/29/18,7/31/18,,A SOBREVEGA,FREDEN CONSTRUCTION,"Project suspended as of April 25, 2018 due to road right of way problem"
36,"Const. of 1CL School Bldg. w/ Attached Toilet, Upper Lamongkot E/S",Norala,CY 2018 CONT. APPROP. SEF #40,1.64%,4.52%,-2.88%," 1,390,357.74 ",90,6/11/18,9/8/18,,A SOBREVEGA,JAMI CONST. & SUPPLY,On-going
37,"Const. of 2CL Bldg. w/ Two Seater Attached Toilet, Lapuz Elementary School",Norala,2018 CONT. APPROP SEF #43,3.71%,18.23%,-14.52%," 1,990,444.60 ",120,7/4/18,10/31/18,,A SOBREVEGA,FH GOPITEO CONST. & SUPPLY,On-going
38,Construction of Bleacher @ Brgy. Dumaguil,Norala,2018 CONT. APPROP GF #256,3.37%,2.15%,1.22%," 989,929.33 ",60,7/10/18,9/7/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
39,Construction of Naci Bridge,Surallah,CY 2015 20% LDF,100.00%,100.00%,0.00%," 24,830,790.34 ",345,1/21/16,12/30/16,6/30/18,MJ Dauz,CS CONSTRUCTION & SUPPLY (formerly: CS CONSTRUCTION/COFEJOK CONST. & SUPPLY CORP.-JOINT VENTURE,Completed
40,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,67.30%,100.00%,-32.70%," 2,989,004.51 ",145,1/18/18,6/11/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going; project expired as of June 11
41,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,58.39%,100.00%,-41.61%," 8,494,519.47 ",160,1/2/18,6/10/18,,ME Dondiego,HEXAMINDZ CORPORATION,On-going; project expired as of June 10
42,Const. of Box Culvert along Tubi-ala-Lambontong Road,Surallah,2016 PDRRMF-IP,37.23%,22.22%,15.01%," 2,990,518.48 ",125,4/19/18,10/1/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going
43,Construction of Bleacher @ Brgy. Veterans,Surallah,2018 CONT. APPROP. GF #266,58.46%,70.83%,-12.37%," 993,646.47 ",60,6/11/18,8/9/18,,ME Dondiego,JAMI CONST. & SUPPLY,On-going
