Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of June 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
21,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,16.45%,61.29%,-44.84%," 2,987,473.44 ",135,12/26/17,5/9/18,,A BARRIENTOS,MFN BUILDERS,"Project suspended as of Apr. 2, 2018, due to road condition going to project site and the contractor have diffilculty in hauling of materials"
22,"Establishment of Greenhouse for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.2,77.05%,100.00%,-22.95%," 264,308.97 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Subject for termination; MAJOR ISSUES: 1)UNAVAILABILITY OF UV PLASTIC SHEETS 600 MICRONS IN LOCAL MARKET 2)INABILITY OF THE CONTRACTOR TO INSTALL THE SPRINKLER SYSTEM
23,"Establishment of Nursery for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.1,75.58%,100.00%,-24.42%," 288,485.65 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Subject for termination; MAJOR ISSUES: 1)UNAVAILABILITY OF UV PLASTIC SHEETS 600 MICRONS IN LOCAL MARKET 2)INABILITY OF THE CONTRACTOR TO INSTALL THE SPRINKLER SYSTEM
24,Inst. Of Lined Canal along Rang-ay-Lamba Road,Banga,CY 2017 20% LDF,100.00%,100.00%,," 1,515,778.02 ",70,9/24/17,4/19/18,6/18/18,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,Completed
25,"Renovation-Repair of Training Center @ Provincial Scion Grove, Nursery & Demo Farm",Banga,CY 2017 20% LDF,100.00%,100.00%,," 1,761,935.91 ",100,11/5/17,3/4/18,6/20/18,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Completed
26,Repair of Lined Canal & Inst. Of Drop Structure @ Sitio Lambukay,Banga,CY 2017 20% LDF,49.19%,63.55%,-14.36%," 2,205,000.00 ",120,1/2/18,8/7/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
27,Concreting of Lambingi-Lampari Road,Banga,CY 2017 20% LDF,78.97%,74.05%,4.92%," 11,988,000.00 ",140,1/18/18,7/21/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
28,Const. of Two CL School Bldg. w/ Two Seater Attached Toilet @ Matlong E/S,Banga,2018 CONT. APPRO SEF #42,7.87%,3.43%,4.44%," 1,990,698.89 ",120,6/10/18,10/7/18,,MJ Dauz,C.A BETALAC CONST. & GEN. MDSE.,On-going
29,"Spring Dev't. & Inst. Of Level II Water System through Hydraulic Rampump, Brgy. San Vicente",Banga,CY 2017 20% LDF,0.19%,10.35%,-10.16%," 2,700,099.48 ",175,5/21/18,11/11/18,,ME Dondiego,DAVAO SANTHONY BUILDERS CORP.,On-going
30,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,0.53%,3.75%,-3.22%," 2,692,684.72 ",60,11/1/16,12/30/16,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"This project is still suspended as of November 23, 2016 due to water way problem & revision of plans."
31,Conc. Of Poblacion-Simsiman-Matapol Road,Norala,CY 2015 20% LDF,98.18%,100.00%,-1.82%," 11,438,082.05 ",255,7/30/17,4/10/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,"On-going; project expired last Apr. 10, 2018"
32,Conc. Of Jct. Lopez Jaena-Puti Road,Norala,CY 2017 20% LDF,100.00%,100.00%,," 14,992,780.22 ",175,11/8/17,5/1/18,6/20/18,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,Completed
33,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,1.48%,19.19%,-17.71%," 375,786.23 ",40,12/21/17,1/29/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of January 19, 2018 due to revision of plan approved  original plan is not suitable suited on site."
34,Renovation of Lapuz Brgy. Hall,Norala,CY 2017 20% LDF,89.43%,100.00%,-10.57%," 1,319,000.00 ",80,12/19/17,3/8/18,,A SOBREVEGA,"ISULAN ECT CONST. & GEN. MDSE., INC.","This project was already expired last March 8, 2018; Subject for liquidated damages"
35,Completion of Gym @ Brgy. Tinago,Norala,CY 2018 CONT. APPROP. GF #318,100.00%,100.00%,," 993,609.25 ",80,3/25/18,6/12/18,6/12/18,A SOBREVEGA,THREE G BUILDERS,Completed
36,Rehabilitation of Puti Water System,Norala,CY 2018 CONT. APPROP. GF #,22.14%,54.65%,-32.51%," 1,962,026.71 ",100,4/8/18,8/5/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
37,Conc. Of Provincial Road Lapus to Brgy. Liberty,Norala,CY 2018 CONT. APPROP. GF #75,6.80%,11.17%,-4.37%," 17,240,000.00 ",125,3/29/18,7/31/18,,A SOBREVEGA,FREDEN CONSTRUCTION,"Project suspended as of April 25, 2018 due to road right of way problem"
38,"Const. of 1CL School Bldg. w/ Attached Toilet, Upper Lamongkot E/S",Norala,CY 2018 CONT. APPROP. SEF #40,1.64%,4.52%,-2.88%," 1,390,357.74 ",90,6/11/18,9/8/18,,A SOBREVEGA,JAMI CONST. & SUPPLY,On-going
39,Construction of Naci Bridge,Surallah,CY 2015 20% LDF,99.29%,100.00%,-0.71%," 24,830,790.34 ",345,1/21/16,12/30/16,,MJ Dauz,CS CONSTRUCTION & SUPPLY (formerly: CS CONSTRUCTION/COFEJOK CONST. & SUPPLY CORP.-JOINT VENTURE,On-going; the contractor has committed to finish the project despite the liquidated damages incurred; MAJOR ISSUE: 1)VERY SLOW CONTRACTOR
40,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,57.15%,100.00%,-42.85%," 2,989,004.51 ",145,1/18/18,6/11/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going
41,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,53.96%,100.00%,-46.04%," 8,494,519.47 ",140,1/2/18,6/10/18,,ME Dondiego,HEXAMINDZ CORPORATION,On-going
42,Const. of Box Culvert along Tubi-ala-Lambontong Road,Surallah,2016 PDRRMF-IP,0.13%,0.13%,0.00%," 2,990,518.48 ",125,4/19/18,8/21/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,"Project resumed as of June 4, 2018"
43,Construction of Bleacher @ Brgy. Veterans,Surallah,2018 CONT. APPROP. GF #266,21.17%,7.84%,13.33%," 993,646.47 ",60,6/11/18,8/9/18,,PM Padua,JAMI CONST. & SUPPLY,On-going
44,Concreting of Halilan Road,Lake Sebu,CY 2017 20% LDF,81.05%,100.00%,-18.95%," 9,980,267.35 ",125,1/18/18,5/22/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; time extension is on process
45,Const. of Erosion Control @ Hanoon ES,Lake Sebu,2017 Truct Fund PDRRMO,32.68%,69.56%,-36.88%," 3,992,761.71 ",90,4/10/18,7/8/18,,A SOBREVEGA,NIRVANA CONST. & SUPPLIES,On-going
46,Conc. Of New Dumangas Road (Leading to Ressetlement Area),T'boli,CY 2017 20% LDF,100.00%,100.00%,," 4,992,486.84 ",155,11/9/17,4/12/18,6/22/18,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,Completed
47,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,60.90%,95.08%,-34.18%," 24,961,302.94 ",340,6/25/17,7/9/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
48,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,20.99%,100.00%,-79.01%," 4,995,579.03 ",80,12/25/17,6/16/18,,MJ Dauz,JAMI CONST. & SUPPLY,On-going; major issues: 1.lack of equipments & man power; 2.Veryslow implementation of project
49,Concreting of Datal D'lanag-Tudok Road,T'boli,2018 Cont. Appropriation GF #239,15.60%,13.73%,1.87%," 19,990,000.00 ",180,4/22/18,10/18/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
50,Completion of Brgy. Hall @ Brgy. Talcon,T'boli,CY 2017 20% LDF,100.00%,100.00%,," 642,138.71 ",50,4/2/18,5/30/18,5/30/18,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,Completed
51,"Construction of Box Culvert along Malu Creek, Sitio Bianan, Brgy. Basag",T'boli,2018 CONT. APPROP. PDRRMF #45,13.88%,11.80%,2.08%," 2,992,000.00 ",175,5/21/18,11/11/18,,A. DEMETILLO,FREDEN CONSTRUCTION,On-going
52,"Spring Development & Installation of Level III Water System through Hydraulic Rampump, Sitio Lamumay",T'boli,2018 CONT. APPROP. GF #308,2.12%,21.89%,-19.77%," 2,425,980.27 ",120,5/21/18,9/17/18,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,On-going
,,,,,,,,,,,,,,
Prepared by:,,,,,,Submitted by:,,,,Recommending Approval:,,,Approved:,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ELSA T. SOMBREA,,"CASIMERO D. PADILLA, JR.",,,,"VICENTE P. AYONGAO, MPA",,,,GENEROSA P. CAPUNDAN,,,"MARNILO S. APEROCHO, MPA",
Engineer III-Chief Upper Valley Section,,"Engineer III-Chief, Lower Valley Section",,,,Engineer IV,,,,Assistant Provincial Engineer,,,Provincial Engineer,
,,,,,,Chief Const. & Maint. Division,,,,,,,,
