Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of December 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date of Completion,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started,,,,,
22,Alteration & Renovation of Extg. Wooden Spectator's Stand and Control Tower @ SCSC (Control Tower),Koronadal City,CY 2018 Cont. APPROP. GF #105,48.74%,61.61%,-12.87%," 5,427,551.51 ",150,9/6/18,2/3/19,,S RENTOZA,GABRIELLAS ENTERPRISES,On-going
23,Construction of Water System @ Brgy. Carpenter Hill,Koronadal City,CY 2018 20% LDF 4.4.1,34.33%,17.69%,16.64%," 4,911,276.54 ",226,9/23/18,5/6/19,,S RENTOZA,DUMALAG SURVEYING & ENG'E. SERVICES,On-going
24,Proposed Renovation of Provincial Capitol Roofing System ,Koronadal City,CY 2018 20% LDF,23.36%,22.94%,0.42%," 3,492,415.22 ",90,11/28/18,2/25/19,,S RENTOZA,FH GOPITEO CONSTRUCTION & SUPPLY,On-going
25,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,83.84%,93.86%,-10.02%," 15,950,503.14 ",320,12/5/16,9/4/18,,E SOLATORIO,REYDAN BUILDERS,On-going; Suspended due to lacking of items for the installation of steel bridge
26,"Const. of 1 Unit Box Culvert Connecting Prk. Pag-asa & Prk. Blaan, Brgy. Magsaysay",Koronadal City,2017 PDRRMF-IP TF 2.4,92.49%,100.00%,-7.51%," 1,263,126.92 ",90,4/16/18,10/27/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going
27,Completion of PDRR Operations Center & Warehouse @ PEO Compound,Koronadal City,999.4-SB#2-CPDRROCW,54.10%,82.24%,-28.14%," 1,488,317.54 ",70,4/8/18,6/16/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of June 14, 2018 due to the new policy of SOCOTECO 1 in banking of 100kVA transformer"
28,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,91.07%,100.00%,-8.93%," 9,769,932.04 ",180,7/26/16,5/21/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going
29,"Construction of provincial Head Quarter's Building, Brgy. Morales",Koronadal City,CY 2018 CONT. APPROP. #115-GF,60.41%,70.05%,-9.64%," 3,995,647.57 ",135,9/23/18,2/4/19,,E SOLATORIO,FH GOPITEO CONSTRUCTION & SUPPLY,On-going
30,KNCHS Senior HS Faculty Room Renovation,Koronadal City,CY 2018 CONT. APPROP. #151-GF,0.00%,,," 897,272.09 ",75,10/25/18,1/7/19,,E SOLATORIO,FH GOPITEO CONSTRUCTION & SUPPLY,"Suspended as of October 25, 2018 due to variation order & approved revised plan"
31,Construciton of Anatomy Laboratory for Medical Program at UP Campus,Koronadal City,CY 2018 CONT. APPRO GF #210,8.72%,13.70%,-4.98%," 1,491,968.43 ",60,11/21/18,1/19/19,,E SOLATORIO,PASE CONSTRUCTION,Suspension order is on process
32,"Construction of CIDG Building, Brgy. Morales",Koronadal City,CY 2018 CONT. APPROP. GF#149,,,," 2,482,183.81 ",90,11/27/18,2/24/19,,E SOLATORIO,MIGO CONSTRUCITON,Suspended due to revision of plan & variation order
