Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of March  25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
21,"Furniture & Fixtures Fabrication of Deck-Type Beds for Female Inmates, South Cotabato Detention & Rehab. Center",Koronadal City,1012-SCRDC-1-07-07-010-SB#1,95.04%,84.73%,10.31%," 993,495.69 ",45,1/10/18,2/23/18,,E SOLATORIO,PASE CONSTRUCTION,"Febr. 16, 2018, suspension is on process due to type beds been assembled inside the female inmates building but the bldg was still on going construction."
22,Fabrication & Inst. Of Rice Steamer,Koronadal City,1012-SCRDC-1-07-04-990,100.00%,75.80%,24.20%," 886,672.15 ",60,1/11/18,3/11/18,2/28/18,E SOLATORIO,FH GOPITEO CONST. & SUPPLY,Completed
23,Improvement of Electrical Facilities & Provision of power House @ Finance Bldg.,Koronadal City,1011-STAFF-999.32-IMPROV'T. OF BLDG. & ELECTRICAL FACILITIES,21.47%,53.45%,-31.98%," 5,429,158.31 ",90,1/22/18,4/21/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
24,Const. of Perimeter Fence-Firewall @ OPAG,Koronadal City,CY 2017 20% LDF,0.00%,0.00%,," 792,000.00 ",60,1/10/18,3/10/18,,E SOLATORIO,FREDEN CONSTRUCTION,"PROJECT SUSPENDED AS OF JANUARY 10, 2018 DUE TO AIR & NOISE POLLUTION AT THE MATERNITY LYING-IN DURING DEMOLITION WORKS."
25,"Const. of SCRDC Addt'l. Bldg. for Female Inmates, Brgy. GPS",Koronadal City,CY 2017 CONT. APPROP. ,90.80%,100.00%,-9.20%," 3,994,980.50 ",165,7/16/17,12/27/17,,CJ HICBAN,FREDEN CONSTRUCTION,"On-going; No activity since March 10 to 26, 2018"
26,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,69.94%,100.00%,-30.06%," 5,919,451.68 ",75,11/28/17,2/10/18,,CJ HICBAN,BETTER WORK CONSTRUCTION,"On-going;Contract expires last March 17, 2018"
27,Conc. Of San Jose-Columbio Brgy. Road,Koronadal City,CY 2017 CONST. APPROP. #198-GF,87.44%,58.74%,28.70%," 4,993,000.00 ",80,11/30/17,2/18/18,,CJ HICBAN,FREDEN CONSTRUCTION,On-going
28,"Const. of Materials Testing Quality Control Div. Bldg., PEO Compound",Koronadal City,PEO 8751-SB#1-P/P-999.2-CMTQCDB,67.09%,86.03%,-18.94%," 1,690,372.86 ",70,1/18/18,3/28/18,,Z TUMALA,MEGALINE BUILDERS & SUPPLY,"Suspeded as of march 20,2018 due to variation no.1"
29,Const. of Senior Citizen Bldg. @ New Lambunao,Tantangan,CY 2017 20% LDF,100.00%,100.00%,0.00%," 1,491,447.02 ",90,1/11/18,4/17/18,3/23/18,Z TUMALA,C.A BETALAC CONST. & GEN. MDSE.,Completed
30,Concreting of Jct. Nhwy. New Ilo-ilo-Libas Road,Tantangan,CY 2017 20% LDF,97.60%,99.14%,-1.54%," 14,928,976.74 ",150,9/14/17,3/27/18,,A BARRIENTOS,FREDEN CONSTRUCTION,On-going
