Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of August 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
22,Const. of Two CL School Bldg. w/ Two Seater Attached Toilet @ Matlong E/S,Banga,2018 CONT. APPRO SEF #42,61.99%,43.72%,18.27%," 1,990,698.89 ",120,6/10/18,10/7/18,,MJ Dauz,C.A BETALAC CONST. & GEN. MDSE.,On-going
23,"Spring Dev't. & Inst. Of Level II Water System through Hydraulic Rampump, Brgy. San Vicente",Banga,CY 2017 20% LDF,61.59%,55.26%,6.33%," 2,700,099.48 ",175,5/21/18,11/11/18,,ME Dondiego,DAVAO SANTHONY BUILDERS CORP.,On-going
24,Upgrading of Yangco-Rang-ay Road,Banga,CY 2018 20% LDF,27.50%,6.40%,21.10%," 10,985,324.48 ",125,7/4/18,11/5/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going
25,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,0.53%,3.75%,-3.22%," 2,692,684.72 ",60,11/1/16,12/30/16,,CJ HICBAN,ROCKSTONE CONST. SERVICES & SUPPLY,"This project is still suspended as of November 23, 2016 due to water way problem & revision of plans."
26,Conc. Of Poblacion-Simsiman-Matapol Road,Norala,CY 2015 20% LDF,100.00%,100.00%,0.00%," 11,438,082.05 ",255,7/30/17,4/10/18,7/30/18,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,Completed
27,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,1.48%,19.19%,-17.71%," 375,786.23 ",40,12/21/17,1/29/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of January 19, 2018 due to revision of plan approved  original plan is not suitable suited on site."
28,Renovation of Lapuz Brgy. Hall,Norala,CY 2017 20% LDF,100.00%,100.00%,0.00%," 1,319,000.00 ",80,12/19/17,3/8/18,7/30/18,A SOBREVEGA,"ISULAN ECT CONST. & GEN. MDSE., INC.",Completed
29,Rehabilitation of Puti Water System,Norala,CY 2018 CONT. APPROP. GF #,73.98%,93.00%,-19.02%," 1,962,026.71 ",120,4/8/18,8/5/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going;
30,Conc. Of Provincial Road Lapus to Brgy. Liberty,Norala,CY 2018 CONT. APPROP. GF #75,6.80%,11.17%,-4.37%," 17,240,000.00 ",125,3/29/18,7/31/18,,CJ HICBAN,FREDEN CONSTRUCTION,"Project suspended as of April 25, 2018 due to road right of way problem"
31,"Const. of 1CL School Bldg. w/ Attached Toilet, Upper Lamongkot E/S",Norala,CY 2018 CONT. APPROP. SEF #40,54.81%,63.86%,-9.05%," 1,390,357.74 ",90,6/11/18,9/8/18,,A SOBREVEGA,JAMI CONST. & SUPPLY,On-going
32,"Const. of 2CL Bldg. w/ Two Seater Attached Toilet, Lapuz Elementary School",Norala,2018 CONT. APPROP SEF #43,30.63%,36.86%,-6.23%," 1,990,444.60 ",120,7/4/18,10/31/18,,A SOBREVEGA,FH GOPITEO CONST. & SUPPLY,On-going
33,Construction of Bleacher @ Brgy. Dumaguil,Norala,2018 CONT. APPROP GF #256,26.29%,70.73%,-44.44%," 989,929.33 ",60,7/10/18,9/7/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
34,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,81.51%,100.00%,-18.49%," 2,989,004.51 ",145,1/18/18,6/11/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going; project expired as of June 11
35,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,66.41%,100.00%,-33.59%," 8,494,519.47 ",160,1/2/18,6/10/18,,ME Dondiego,HEXAMINDZ CORPORATION,On-going; project expired as of June 10
36,Const. of Box Culvert along Tubi-ala-Lambontong Road,Surallah,2016 PDRRMF-IP,70.94%,61.24%,9.70%," 2,990,518.48 ",125,4/19/18,10/1/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going
37,Construction of Bleacher @ Brgy. Veterans,Surallah,2018 CONT. APPROP. GF #266,100.00%,100.00%,0.00%," 993,646.47 ",60,6/11/18,8/9/18,8/9/18,ME Dondiego,JAMI CONST. & SUPPLY,Completed
38,Upgrading of Provincial Road Jct. Nhwy. Brgy. Teresita,Sto. Niño,2018 20% LDF,42.20%,5.62%,36.58%," 14,990,000.00 ",135,6/28/18,11/9/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
39,Concreting of Halilan Road,Lake Sebu,CY 2017 20% LDF,97.07%,100.00%,-2.93%," 9,980,267.35 ",170,1/18/18,5/22/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going;
40,Const. of Erosion Control @ Hanoon ES,Lake Sebu,2017 Truct Fund PDRRMO,77.43%,87.40%,-9.97%," 3,992,761.71 ",90,4/10/18,8/12/18,,A SOBREVEGA,NIRVANA CONST. & SUPPLIES,On-going
41,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,60.90%,95.08%,-34.18%," 24,961,302.94 ",340,6/25/17,7/9/18,,ME Dondiego,FREDEN CONSTRUCTION,"Project suspended as of July 9, 2018"
