Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of April  25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
21,Const. of Perimeter Fence-Firewall @ OPAG,Koronadal City,CY 2017 20% LDF,0.00%,0.00%,," 792,000.00 ",60,1/10/18,3/10/18,,E SOLATORIO,FREDEN CONSTRUCTION,"PROJECT SUSPENDED AS OF JANUARY 10, 2018 DUE TO AIR & NOISE POLLUTION AT THE MATERNITY LYING-IN DURING DEMOLITION WORKS AND VARIATION ORDER"
22,"Const. of 1 Unit Box Culvert Connecting Prk. Pag-asa & Prk. Blaan, Brgy. Magsaysay",Koronadal City,2017 PDRRMF-IP TF 2.4,0.00%,,," 1,263,126.92 ",50,4/16/18,6/4/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"Suspended as of April 16, 2018 due to project conflict with the City Government project. "
23,Completion of PDRR Operations Center & Warehouse @ PEO Compound,Koronadal City,999.4-SB#2-CPDRROCW,5.82%,1.02%,4.80%," 1,488,317.54 ",70,4/8/18,6/16/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
24,"Const. of SCRDC Addt'l. Bldg. for Female Inmates, Brgy. GPS",Koronadal City,CY 2017 CONT. APPROP. ,90.80%,100.00%,-9.20%," 3,994,980.50 ",165,7/16/17,12/27/17,,CJ HICBAN,FREDEN CONSTRUCTION,"On-going; PROJECT EXPIRED last Dec. 27, 2017"
25,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,87.60%,100.00%,-12.40%," 5,919,451.68 ",75,11/28/17,3/17/18,,CJ HICBAN,BETTER WORK CONSTRUCTION,On-going
26,Conc. Of San Jose-Columbio Brgy. Road,Koronadal City,CY 2017 CONST. APPROP. #198-GF,100.00%,100.00%,0.00%," 4,993,000.00 ",80,11/30/17,4/10/18,4/10/18,CJ HICBAN,FREDEN CONSTRUCTION,Completed
27,Construction of 2nd Floor of the Student Dormitory,Koronadal City,CY 2018 Cont. APPROP. GF #211,4.72%,10.90%,-6.18%," 2,989,399.99 ",90,3/27/18,6/24/18,,CJ HICBAN,MARBEL DYNAMIC BUILDERS,On-going
28,"Const. of Materials Testing Quality Control Div. Bldg., PEO Compound",Koronadal City,PEO 8751-SB#1-P/P-999.2-CMTQCDB,67.09%,86.03%,-18.94%," 1,690,372.86 ",70,1/18/18,3/28/18,,Z TUMALA,MEGALINE BUILDERS & SUPPLY,"Suspeded as of march 20,2018 due to variation no.1"
29,Const. of Facilities in Evacuation Centers (Const. of Comfort Room & Kitchen),Tantangan,CY 2018 Cont. APPROP. GF #19,18.14%,19.39%,-1.25%," 1,544,000.00 ",75,3/29/18,6/11/18,,Z TUMALA,FREDEN CONSTRUCTION,On-going
30,Concreting of Jct. Nhwy. New Ilo-ilo-Libas Road,Tantangan,CY 2017 20% LDF,100.00%,100.00%,0.00%," 14,928,976.74 ",150,9/14/17,3/27/18,3/27/18,A BARRIENTOS,FREDEN CONSTRUCTION,Completed
