Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of October 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
22,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,90.67%,100.00%,-9.33%," 9,769,932.04 ",180,7/26/16,5/21/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going; no activities
23,"Construction of provincial Head Quarter's Building, Brgy. Morales",Koronadal City,CY 2018 CONT. APPROP. #115-GF,19.69%,28.64%,-8.95%," 3,995,647.57 ",135,9/23/18,2/4/19,,E SOLATORIO,FH GOPITEO CONSTRUCTION & SUPPLY,On-going
24,"Completion of Brgy. Hall, Brgy. Zone III",Koronadal City,CY 2018 CONT. APPROP. #319-GF,44.68%,41.05%,3.63%," 847,948.75 ",60,9/5/18,11/3/18,,E SOLATORIO,FH GOPITEO CONSTRUCTION & SUPPLY,On-going; 15 CD TIME EXTENSION IS ON PROCESS
25,KNCHS Senior HS Faculty Room Renovation,Koronadal City,CY 2018 CONT. APPROP. #151-GF,0.00%,,," 897,272.09 ",75,10/25/18,1/7/19,,E SOLATORIO,FH GOPITEO CONSTRUCTION & SUPPLY,"Suspended as of October 25, 2018 due to variation order & approved revised plan"
26,"Repair of Senior Citizen Building & Construciton of Covered Area with Stage, Brgy. Rang-ay",Banga,CY 2018 CONT. APPROP. GF# 256 & 58,18.26%,30.45%,-12.19%," 1,492,117.32 ",90,9/5/18,12/4/18,,MJ Dauz,FH GOPITEO CONSTRUCTION & SUPPLY,On-going
27,Const. of Two CL School Bldg. w/ Two Seater Attached Toilet @ Matlong E/S,Banga,2018 CONT. APPRO SEF #42,100.00%,100.00%,0.00%," 1,990,698.89 ",135,6/10/18,10/22/18,10/22/18,CJ HICBAN,C.A BETALAC CONST. & GEN. MDSE.,Completed
28,"Spring Dev't. & Inst. Of Level II Water System through Hydraulic Rampump, Brgy. San Vicente",Banga,CY 2017 20% LDF,61.59%,69.62%,-8.03%," 2,700,099.48 ",175,5/21/18,11/11/18,,ME Dondiego,DAVAO SANTHONY BUILDERS CORP.,On-going
29,Upgrading of Yangco-Rang-ay Road,Banga,CY 2018 20% LDF,83.18%,92.04%,-8.86%," 10,985,324.48 ",125,7/4/18,11/5/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going; time extension is on process
30,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,1.99%,71.90%,-69.91%," 2,692,684.72 ",60,11/1/16,11/1/18,,CJ HICBAN,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; time extension is on process
31,Conc. Of Provincial Road Lapus to Brgy. Liberty,Norala,CY 2018 CONT. APPROP. GF #75,6.80%,11.17%,-4.37%," 17,240,000.00 ",125,3/29/18,7/31/18,,CJ HICBAN,FREDEN CONSTRUCTION,"Project suspended as of April 25, 2018 due to road right of way problem"
32,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,58.71%,100.00%,-41.29%," 375,786.23 ",40,12/21/17,9/14/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"On-going; project expires last Sept. 15, 2018 and no project engineer on site since the start of the project"
33,Rehabilitation of Puti Water System,Norala,CY 2018 CONT. APPROP. GF #,83.74%,100.00%,-16.26%," 1,962,026.71 ",145,4/8/18,8/30/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; no project engineer on site since the start of the project
34,"Const. of 1CL School Bldg. w/ Attached Toilet, Upper Lamongkot E/S",Norala,CY 2018 CONT. APPROP. SEF #40,100.00%,100.00%,0.00%," 1,390,357.74 ",110,6/11/18,9/28/18,10/5/18,A SOBREVEGA,JAMI CONST. & SUPPLY,Completed
35,"Const. of 2CL Bldg. w/ Two Seater Attached Toilet, Lapuz Elementary School",Norala,2018 CONT. APPROP SEF #43,97.57%,97.55%,0.02%," 1,990,444.60 ",120,7/4/18,10/31/18,,A SOBREVEGA,FH GOPITEO CONST. & SUPPLY,On-going
36,Construction of Bleacher @ Brgy. Dumaguil,Norala,2018 CONT. APPROP GF #256,90.62%,100.00%,-9.38%," 989,929.33 ",60,7/10/18,10/2/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"On-going; no project engineer on site since the start of the project; expired last Oct. 3, 2018"
37,Upgrading of Jct. provincial Road-Lopez Jaena to Brgy. Katipunan,Norala & Sto. Niño,CY 2018 20% LDF #4.2.14,19.17%,32.31%,-13.14%," 9,988,834.34 ",162,9/6/18,2/14/19,,A SOBREVEGA,FREDEN CONSTRUCTION,On-going; plan accomplishment based on PERT/CPM submitted to BAC
38,Upgrading of Provincial Road Jct. Nhwy. Brgy. Teresita,Sto. Niño,2018 20% LDF,87.39%,86.25%,1.14%," 14,990,000.00 ",135,6/28/18,11/9/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
39,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,93.21%,100.00%,-6.79%," 2,989,004.51 ",145,1/18/18,6/11/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going; project expired as of June 11
40,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,80.18%,100.00%,-19.82%," 8,494,519.47 ",160,1/2/18,6/10/18,,ME Dondiego,HEXAMINDZ CORPORATION,On-going; project expired as of June 10
41,Construction of Dog Impounding facility Ecological Park,Surallah,CY 2018 Cont. Appro GF # 316,20.47%,39.26%,-18.79%," 1,791,047.18 ",90,8/15/18,12/15/18,,CJ HICBAN,FH GOPITEO CONST. & SUPPLY,On-going
42,Installation of Lined Canal along Crossing Verayo - Lambontong Rd,Surallah,CY 2018 20% LDF 4.6.1,45.55%,45.68%,-0.13%," 2,632,134.06 ",110,8/21/18,12/8/18,,CJ HICBAN,DAVAO SANTHONY BUILDERS CORP.,On-going
43,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,60.90%,95.08%,-34.18%," 24,961,302.94 ",340,6/25/17,7/9/18,,ME Dondiego,FREDEN CONSTRUCTION,"Project suspended as of July 9, 2018"
44,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,56.87%,100.00%,-43.13%," 4,995,579.03 ",80,12/25/17,6/16/18,,MJ Dauz,JAMI CONST. & SUPPLY,On-going; major issue: no heavy equipments and insuffiecient manpower; this project is subject for automatic termination. LD has reached 10% of the contrac cost
45,Concreting of Datal D'lanag-Tudok Road,T'boli,2018 Cont. Appropriation GF #239,100.00%,91.34%,8.66%," 19,990,000.00 ",180,4/22/18,11/17/18,10/25/18,MJ Dauz,FREDEN CONSTRUCTION,Completed
46,"Construction of Box Culvert along Malu Creek, Sitio Bianan, Brgy. Basag",T'boli,2018 CONT. APPROP. PDRRMF #45,87.78%,78.85%,8.93%," 2,992,000.00 ",175,5/21/18,11/11/18,,A. DEMETILLO,FREDEN CONSTRUCTION,On-going
47,"Spring Development & Installation of Level III Water System through Hydraulic Rampump, Sitio Lamumay",T'boli,2018 CONT. APPROP. GF #308,100.00%,97.99%,2.01%," 2,425,980.27 ",120,5/21/18,10/27/18,10/25/18,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,Completed
48,Rehabilitation of Lamdalag - Lamcade - Klubi Rd,Lake Sebu,2018 Cont. Appro GF#318,6.81%,30.08%,-23.27%," 7,153,222.57 ",125,8/15/18,1/25/19,,A SOBREVEGA,THREE G BUILDERS,On-going; revised PERT/CPM is on process due to 39CD suspension of work
,CMGP,,,,,,,,,,,,,
1,Upgrading of Jct Nhwy. Palkan-Cannery-Jct. Upper Klinan Road (2018),Polomolok,CMGP CY 2018,23.70%,21.45%,2.25%," 23,929,475.94 ",168,8/7/18,1/21/19,,J JANUTO,PASE CONSTRUCTION,On-going; major issue: heavy downpour casuing damaged to the prepared base of PCCP
2,Upgrading of Jct. Palkan-Cannery-Jct. Upper Klinan Road (2017),Polomolok,CMGP CY 2017,82.92%,82.39%,0.53%," 65,098,979.00 ",140,10/10/17,10/28/18,,J JANUTO,RITCHIE-NATHALIE BUILDERS & GEM. MDSE,On-going; major issue: occurrence of flashflood casuing damage to road shoulder and lined canal
3,Upgrading of Jct Nhwy - Sulit - Bentung - Crossing Aflek Rd,Polomolok,CMGP CY 2018,69.55%,61.35%,8.20%," 15,760,000.00 ",113,8/7/18,11/28/18,,J JANUTO,FREDEN CONSTRUCTION,On-going
4,Upgrading of Nhwy - Cebuano - Kipalbig Bdry Rd,Tupi,CMGP CY 2018,48.37%,20.54%,27.83%," 21,545,865.65 ",168,8/7/18,1/21/19,,A BARRIENTOS,HVC SAGITTARIUS COMMERCIAL & CONSTRUCTION,On-going
5,Upgrading of Tampakan-Tablu Boundary Road,Tampakan,CMGP CY 2018,36.56%,13.67%,22.89%," 19,295,000.00 ",126,8/16/18,12/19/18,,A. Demetillo,FREDEN CONSTRUCTION,On-going
6,Upgrading of Tampakan-Sta. Cruz-Topland Boundary Road,Tampakan,CMGP CY 2018,16.11%,18.48%,-2.37%," 22,179,490.33 ",146,8/8/18,12/31/18,,A. Demetillo,Dalanon Construction,On-going
7,Upgrading of Jct.Nhwy. New Iloilo-Cabuling-New Lambunao Boundary Road,Tantangan,CMGP CY 2018,30.75%,17.52%,13.23%," 33,866,533.26 ",172,8/7/18,1/25/19,,S. Rentoza,Reydan Builders,On-going
8,Upgrading of Jct. Nhwy. Poblacion - Tantangan-Tacub-Tinago Boundary Road,Tantangan,CMGP CY 2018,16.90%,4.16%,12.74%," 23,825,000.00 ",152,8/7/18,1/5/19,,S. Rentoza,FREDEN CONSTRUCTION,On-going; major issue: the layout of lined canal does not conform with the approved pland and the elevation shoud be leveled with the edge of the PCCP & not to the center line
9,Upgrading of NHWY Jct. Colungulo-Moloy-Duengas-Talahik Road,Surallah,CMGP CY 2017,100.00%,100.00%,0.00%," 41,120,974.15 ",115,10/10/17,6/7/18,9/30/18,ME Dondiego,BETTER WORK CONSTRUCTION,Completed
10,Upgrading of Centrala-Naci-Lambontong Road,Surallah,CMGP CY 2018,32.59%,16.88%,15.71%," 31,553,343.91 ",168,8/7/18,1/21/19,,ME Dondiego,FH Gopiteo Const.& Supply,On-going
,,,,,,,,,,,,,,
Prepared by:,,,,,,Submitted by:,,,,,,,Approved:,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ELSA T. SOMBREA,,"CASIMERO D. PADILLA, JR.",,,,"VICENTE P. AYONGAO, MPA",,,,,,,"MARNILO S. APEROCHO, MPA",
Engineer III-Chief Upper Valley Section,,"Engineer III-Chief, Lower Valley Section",,,,Engineer IV,,,,,,,Provincial Engineer,
,,,,,,Chief Const. & Maint. Division,,,,,,,,
